,,TUTORIAL,,4C11,,4C12,,4C13,,4C14,,4C15,,4C16,,4C17,,4C18,,4C19,,4C10,,4C21,,4C22,,4C23,,4C24,,4C25,,4C26,,4C27,,4C28,,4C29,,4C20,,4C31,,4C32,,4C33,,4C34,,4C35,,4C36,,4C37,,4C38,,4C39,,4C40,,4C41,,4C42,,4C43,,4C44,,4C45,,4C46,,4C47,,4C48,,4Q11,,4Q12,,4Q13,,4Q14,,4Q15,,4Q16,,4Q17,,4Q18,,4Q21,,4Q22,,4Q23,,4Q24,,4Q25,,4Q26,,4Q27,,4Q28,,,,
DAY,,PRACTICAL,HOURS,4C1A,,4C1B,,4C1C,,4C1D,,4C1E,,4C1F,,4C1G,,4C1H,,4C1I,,4C1Z,,4C2A,,4C2B,,4C2C,,4C2D,,4C2E,,4C2F,,4C2G,,4C2H,,4C2I,,4C2Z,,4C3A,,4C3B,,4C3C,,4C3D,,4C3E,,4C3F,,4C3G,,4C3H,,4C3I,,4C3J,,4C4A,,4C4B,,4C4C,,4C4D,,4C4E,,4C4F,,4C4G,,4C4H,,4Q1A,,4Q1B,,4Q1C,,4Q1D,,4Q1E,,4Q1F,,4Q1G,,4Q1H,,4Q2A,,4Q2B,,4Q2C,,4Q2D,,4Q2E,,4Q2F,,4Q2G,,4Q2H,,DAY,,HOURS
,,,,F304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E205,,,,,,,,,,,,,,,,T105,,,,,,,,,,T106,,,,F316,,,,,,,,,,,,,,F302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11,,4:20 PM,LC22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC19,,,,,,,,,,,,,,,,LC20,,,,,,,,,,LC22,,,,LC23,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4:20 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LC24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,5:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5:10 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,,6:00PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,6:00PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,6:50PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6:50PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,8:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,UHU005P,,,,,,,,,,,,UCS802P,,UCS802P,,,,,,,,,,,,,,,,,,,,,,UHU005P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8:00 AM
